episode,step,action,reward,throughput_mbps,delay_ms,loss_rate,utility_score,obs_t_norm,obs_d_norm,obs_l_norm,obs_c_norm,obs_a_norm,terminated
31,1,2,0.740926206111908,7.632,66.821262,0.0,0.7297893546521663,0.7631999850273132,0.22273753583431244,0.0,0.6000000238418579,1.0,False
31,2,0,0.5101860165596008,5.28,53.44192,0.0,0.5012790374457836,0.527999997138977,0.17813973128795624,0.0,0.5,0.0,False
31,3,1,0.5005860328674316,5.184,53.44192,0.0,0.4916790537536144,0.5184000134468079,0.17813973128795624,0.0,0.5,0.5,False
31,4,2,0.5917860269546509,6.096,53.44192,0.0,0.5828790478408337,0.6096000075340271,0.17813973128795624,0.0,0.6000000238418579,1.0,False
31,5,2,0.6949860453605652,7.128,53.44192,0.0,0.686079066246748,0.7128000259399414,0.17813973128795624,0.0,0.699999988079071,1.0,False
31,6,1,0.7045860290527344,7.224,53.44192,0.0,0.6956790499389172,0.7224000096321106,0.17813973128795624,0.0,0.699999988079071,0.5,False
31,7,2,0.8005860447883606,8.184,53.44192,0.0,0.7916790656745434,0.8184000253677368,0.17813973128795624,0.0,0.800000011920929,1.0,False
31,8,1,0.8101860284805298,8.28,53.44192,0.0,0.8012790493667126,0.828000009059906,0.17813973128795624,0.0,0.800000011920929,0.5,False
31,9,2,0.9037860035896301,9.216,53.44192,0.0,0.8948790244758129,0.9215999841690063,0.17813973128795624,0.0,0.8999999761581421,1.0,False
31,10,1,0.9133860468864441,9.312,53.44192,0.0,0.9044790677726269,0.9312000274658203,0.17813973128795624,0.0,0.8999999761581421,0.5,False
31,11,2,0.9709799885749817,9.912,60.659981,0.0,0.9608699798583984,0.9911999702453613,0.20219993591308594,0.0,1.0,1.0,False
31,12,1,0.9722504615783691,9.984,78.448561,0.0,0.959175692498684,0.9983999729156494,0.2614952027797699,0.0,1.0,0.5,False
31,13,1,0.9662652611732483,9.984,96.404108,0.0,0.9501979187130928,0.9983999729156494,0.32134702801704407,0.0,1.0,0.5,False
31,14,2,0.9558675289154053,9.984,127.597279,0.0,0.9346013337373733,0.9983999729156494,0.4253242611885071,0.0,1.0,1.0,False
31,15,2,0.7681609988212585,9.984,194.849161,0.016529,0.7356861419975758,0.9983999729156494,0.6494972109794617,0.01652892492711544,1.0,1.0,False
31,16,1,0.5366275310516357,9.984,246.076827,0.037975,0.5186531558632851,0.9983999729156494,0.8202561140060425,0.037974681705236435,1.0,0.5,False
31,17,1,0.10321924835443497,9.984,310.935947,0.079518,0.10321924984455111,0.9983999729156494,1.0,0.07951807230710983,1.0,0.5,False
31,18,2,-0.9778667092323303,9.888,342.781963,0.186667,-0.9778666853904724,0.9887999892234802,1.0,0.18666666746139526,1.0,1.0,False
31,19,2,0.7295920848846436,7.608,93.62382,0.0,0.7139880940318107,0.7608000040054321,0.31207939982414246,0.0,1.0,1.0,False
31,20,2,0.2577720880508423,9.984,177.795376,0.068136,0.22813953757286076,0.9983999729156494,0.5926512479782104,0.06813627481460571,1.0,1.0,False
31,21,2,0.03160437196493149,9.984,206.211995,0.089806,0.0003417074680328591,0.9983999729156494,0.6873733401298523,0.08980582654476166,1.0,1.0,False
31,22,2,0.9397373795509338,9.984,175.987718,0.0,0.9104061096906662,0.9983999729156494,0.5866257548332214,0.0,1.0,1.0,False
31,23,2,0.8694499731063843,9.984,175.085222,0.007059,0.8402691297233105,0.9983999729156494,0.5836173892021179,0.0070588234812021255,1.0,1.0,False
31,24,2,0.9213767051696777,9.984,148.877977,0.00274,0.8965637227520347,0.9983999729156494,0.4962599277496338,0.002739726100116968,1.0,1.0,False
31,25,2,0.9588810205459595,9.984,118.556922,0.0,0.939121513068676,0.9983999729156494,0.39518973231315613,0.0,1.0,1.0,False
31,26,2,0.9573609232902527,10.008,127.917296,0.0,0.9360413536429405,1.0,0.42639097571372986,0.0,1.0,1.0,False
