episode,step,action,reward,throughput_mbps,delay_ms,loss_rate,utility_score,obs_t_norm,obs_d_norm,obs_l_norm,obs_c_norm,obs_a_norm,terminated
17,1,1,0.5049580931663513,5.184,13.44192,0.0,0.5116790533065796,0.5184000134468079,0.13441920280456543,0.0,0.5,0.5,False
17,2,2,0.6033580899238586,6.168,13.44192,0.0,0.6100790500640869,0.6168000102043152,0.13441920280456543,0.0,0.6000000238418579,1.0,False
17,3,2,0.708958089351654,7.224,13.44192,0.0,0.7156790494918823,0.7224000096321106,0.13441920280456543,0.0,0.699999988079071,1.0,False
17,4,1,0.7113580703735352,7.248,13.44192,0.0,0.7180790305137634,0.7247999906539917,0.13441920280456543,0.0,0.699999988079071,0.5,False
17,5,0,0.6105580925941467,6.24,13.44192,0.0,0.617279052734375,0.6240000128746033,0.13441920280456543,0.0,0.6000000238418579,0.0,False
17,6,1,0.6081580519676208,6.216,13.44192,0.0,0.6148790121078491,0.6215999722480774,0.13441920280456543,0.0,0.6000000238418579,0.5,False
17,7,0,0.5073580741882324,5.208,13.44192,0.0,0.5140790343284607,0.520799994468689,0.13441920280456543,0.0,0.5,0.0,False
17,8,0,0.401758074760437,4.152,13.44192,0.0,0.4084790349006653,0.41519999504089355,0.13441920280456543,0.0,0.4000000059604645,0.0,False
17,9,2,0.5025580525398254,5.16,13.44192,0.0,0.5092790126800537,0.515999972820282,0.13441920280456543,0.0,0.5,1.0,False
17,10,1,0.5025580525398254,5.16,13.44192,0.0,0.5092790126800537,0.515999972820282,0.13441920280456543,0.0,0.5,0.5,False
17,11,0,0.4041580855846405,4.176,13.44192,0.0,0.4108790457248688,0.41760000586509705,0.13441920280456543,0.0,0.4000000059604645,0.0,False
17,12,2,0.5001580715179443,5.136,13.44192,0.0,0.5068790316581726,0.5135999917984009,0.13441920280456543,0.0,0.5,1.0,False
17,13,1,0.5049580931663513,5.184,13.44192,0.0,0.5116790533065796,0.5184000134468079,0.13441920280456543,0.0,0.5,0.5,False
17,14,2,0.6057580709457397,6.192,13.44192,0.0,0.612479031085968,0.6191999912261963,0.13441920280456543,0.0,0.6000000238418579,1.0,False
17,15,2,0.708958089351654,7.224,13.44192,0.0,0.7156790494918823,0.7224000096321106,0.13441920280456543,0.0,0.699999988079071,1.0,False
17,16,1,0.7113580703735352,7.248,13.44192,0.0,0.7180790305137634,0.7247999906539917,0.13441920280456543,0.0,0.699999988079071,0.5,False
17,17,0,0.6105580925941467,6.24,13.44192,0.0,0.617279052734375,0.6240000128746033,0.13441920280456543,0.0,0.6000000238418579,0.0,False
17,18,2,0.708958089351654,7.224,13.44192,0.0,0.7156790494918823,0.7224000096321106,0.13441920280456543,0.0,0.699999988079071,1.0,False
17,19,0,0.6105580925941467,6.24,13.44192,0.0,0.617279052734375,0.6240000128746033,0.13441920280456543,0.0,0.6000000238418579,0.0,False
17,20,0,0.5073580741882324,5.208,13.44192,0.0,0.5140790343284607,0.520799994468689,0.13441920280456543,0.0,0.5,0.0,False
17,21,2,0.6057580709457397,6.192,13.44192,0.0,0.612479031085968,0.6191999912261963,0.13441920280456543,0.0,0.6000000238418579,1.0,False
17,22,1,0.6057580709457397,6.192,13.44192,0.0,0.612479031085968,0.6191999912261963,0.13441920280456543,0.0,0.6000000238418579,0.5,False
17,23,1,0.6081580519676208,6.216,13.44192,0.0,0.6148790121078491,0.6215999722480774,0.13441920280456543,0.0,0.6000000238418579,0.5,False
17,24,0,0.5049580931663513,5.184,13.44192,0.0,0.5116790533065796,0.5184000134468079,0.13441920280456543,0.0,0.5,0.0,False
17,25,1,0.5049580931663513,5.184,13.44192,0.0,0.5116790533065796,0.5184000134468079,0.13441920280456543,0.0,0.5,0.5,False
17,26,1,0.5049580931663513,5.184,13.44192,0.0,0.5116790533065796,0.5184000134468079,0.13441920280456543,0.0,0.5,0.5,False
17,27,2,0.6033580899238586,6.168,13.44192,0.0,0.6100790500640869,0.6168000102043152,0.13441920280456543,0.0,0.6000000238418579,1.0,False
17,28,2,0.708958089351654,7.224,13.44192,0.0,0.7156790494918823,0.7224000096321106,0.13441920280456543,0.0,0.699999988079071,1.0,False
17,29,0,0.6105580925941467,6.24,13.44192,0.0,0.617279052734375,0.6240000128746033,0.13441920280456543,0.0,0.6000000238418579,0.0,False
17,30,0,0.5073580741882324,5.208,13.44192,0.0,0.5140790343284607,0.520799994468689,0.13441920280456543,0.0,0.5,0.0,False
17,31,1,0.5049580931663513,5.184,13.44192,0.0,0.5116790533065796,0.5184000134468079,0.13441920280456543,0.0,0.5,0.5,False
17,32,0,0.401758074760437,4.152,13.44192,0.0,0.4084790349006653,0.41519999504089355,0.13441920280456543,0.0,0.4000000059604645,0.0,False
17,33,0,0.3009580671787262,3.144,13.44192,0.0,0.30767902731895447,0.31439998745918274,0.13441920280456543,0.0,0.30000001192092896,0.0,False
17,34,0,0.19535808265209198,2.088,13.44192,0.0,0.20207904279232025,0.20880000293254852,0.13441920280456543,0.0,0.20000000298023224,0.0,False
17,35,2,0.2937580943107605,3.072,13.44192,0.0,0.30047905445098877,0.30720001459121704,0.13441920280456543,0.0,0.30000001192092896,1.0,False
17,36,0,0.19775807857513428,2.112,13.44192,0.0,0.20447903871536255,0.21119999885559082,0.13441920280456543,0.0,0.20000000298023224,0.0,False
17,37,2,0.2937580943107605,3.072,13.44192,0.0,0.30047905445098877,0.30720001459121704,0.13441920280456543,0.0,0.30000001192092896,1.0,False
17,38,0,0.19775807857513428,2.112,13.44192,0.0,0.20447903871536255,0.21119999885559082,0.13441920280456543,0.0,0.20000000298023224,0.0,False
17,39,0,0.09215807914733887,1.056,13.44192,0.0,0.09887903928756714,0.10559999942779541,0.13441920280456543,0.0,0.10000000149011612,0.0,False
17,40,2,0.1905580759048462,2.04,13.44192,0.0,0.19727903604507446,0.20399999618530273,0.13441920280456543,0.0,0.20000000298023224,1.0,False
17,41,0,0.09215807914733887,1.056,13.44192,0.0,0.09887903928756714,0.10559999942779541,0.13441920280456543,0.0,0.10000000149011612,0.0,False
17,42,2,0.1905580759048462,2.04,13.44192,0.0,0.19727903604507446,0.20399999618530273,0.13441920280456543,0.0,0.20000000298023224,1.0,False
17,43,0,0.09455808252096176,1.08,13.44192,0.0,0.10127904266119003,0.1080000028014183,0.13441920280456543,0.0,0.10000000149011612,0.0,False
17,44,0,0.08735807985067368,1.008,13.44192,0.0,0.09407903999090195,0.10080000013113022,0.13441920280456543,0.0,0.10000000149011612,0.0,False
17,45,0,0.09215807914733887,1.056,13.44192,0.0,0.09887903928756714,0.10559999942779541,0.13441920280456543,0.0,0.10000000149011612,0.0,False
17,46,2,0.1857580840587616,1.992,13.44192,0.0,0.19247904419898987,0.19920000433921814,0.13441920280456543,0.0,0.20000000298023224,1.0,False
17,47,1,0.19535808265209198,2.088,13.44192,0.0,0.20207904279232025,0.20880000293254852,0.13441920280456543,0.0,0.20000000298023224,0.5,False
17,48,1,0.19295808672904968,2.064,13.44192,0.0,0.19967904686927795,0.20640000700950623,0.13441920280456543,0.0,0.20000000298023224,0.5,False
17,49,0,0.09215807914733887,1.056,13.44192,0.0,0.09887903928756714,0.10559999942779541,0.13441920280456543,0.0,0.10000000149011612,0.0,False
17,50,0,0.08975808322429657,1.032,13.44192,0.0,0.09647904336452484,0.10320000350475311,0.13441920280456543,0.0,0.10000000149011612,0.0,False
17,51,2,0.1905580759048462,2.04,13.44192,0.0,0.19727903604507446,0.20399999618530273,0.13441920280456543,0.0,0.20000000298023224,1.0,False
17,52,1,0.1905580759048462,2.04,13.44192,0.0,0.19727903604507446,0.20399999618530273,0.13441920280456543,0.0,0.20000000298023224,0.5,False
17,53,2,0.2937580943107605,3.072,13.44192,0.0,0.30047905445098877,0.30720001459121704,0.13441920280456543,0.0,0.30000001192092896,1.0,False
17,54,0,0.19775807857513428,2.112,13.44192,0.0,0.20447903871536255,0.21119999885559082,0.13441920280456543,0.0,0.20000000298023224,0.0,False
17,55,1,0.19295808672904968,2.064,13.44192,0.0,0.19967904686927795,0.20640000700950623,0.13441920280456543,0.0,0.20000000298023224,0.5,False
17,56,2,0.291358083486557,3.048,13.44192,0.0,0.2980790436267853,0.30480000376701355,0.13441920280456543,0.0,0.30000001192092896,1.0,False
17,57,2,0.3993580937385559,4.128,13.44192,0.0,0.4060790538787842,0.41280001401901245,0.13441920280456543,0.0,0.4000000059604645,1.0,False
17,58,1,0.3969580829143524,4.104,13.44192,0.0,0.4036790430545807,0.41040000319480896,0.13441920280456543,0.0,0.4000000059604645,0.5,False
17,59,0,0.3009580671787262,3.144,13.44192,0.0,0.30767902731895447,0.31439998745918274,0.13441920280456543,0.0,0.30000001192092896,0.0,False
17,60,0,0.19535808265209198,2.088,13.44192,0.0,0.20207904279232025,0.20880000293254852,0.13441920280456543,0.0,0.20000000298023224,0.0,False
17,61,2,0.2937580943107605,3.072,13.44192,0.0,0.30047905445098877,0.30720001459121704,0.13441920280456543,0.0,0.30000001192092896,1.0,False
17,62,1,0.2961580753326416,3.096,13.44192,0.0,0.3028790354728699,0.30959999561309814,0.13441920280456543,0.0,0.30000001192092896,0.5,False
17,63,1,0.2985580861568451,3.12,13.44192,0.0,0.30527904629707336,0.31200000643730164,0.13441920280456543,0.0,0.30000001192092896,0.5,False
17,64,1,0.2961580753326416,3.096,13.44192,0.0,0.3028790354728699,0.30959999561309814,0.13441920280456543,0.0,0.30000001192092896,0.5,False
17,65,0,0.19775807857513428,2.112,13.44192,0.0,0.20447903871536255,0.21119999885559082,0.13441920280456543,0.0,0.20000000298023224,0.0,False
17,66,2,0.2937580943107605,3.072,13.44192,0.0,0.30047905445098877,0.30720001459121704,0.13441920280456543,0.0,0.30000001192092896,1.0,False
17,67,2,0.3969580829143524,4.104,13.44192,0.0,0.4036790430545807,0.41040000319480896,0.13441920280456543,0.0,0.4000000059604645,1.0,False
17,68,2,0.5001580715179443,5.136,13.44192,0.0,0.5068790316581726,0.5135999917984009,0.13441920280456543,0.0,0.5,1.0,False
17,69,2,0.6057580709457397,6.192,13.44192,0.0,0.612479031085968,0.6191999912261963,0.13441920280456543,0.0,0.6000000238418579,1.0,False
17,70,0,0.5073580741882324,5.208,13.44192,0.0,0.5140790343284607,0.520799994468689,0.13441920280456543,0.0,0.5,0.0,False
17,71,0,0.4041580855846405,4.176,13.44192,0.0,0.4108790457248688,0.41760000586509705,0.13441920280456543,0.0,0.4000000059604645,0.0,False
17,72,0,0.2985580861568451,3.12,13.44192,0.0,0.30527904629707336,0.31200000643730164,0.13441920280456543,0.0,0.30000001192092896,0.0,False
17,73,2,0.3993580937385559,4.128,13.44192,0.0,0.4060790538787842,0.41280001401901245,0.13441920280456543,0.0,0.4000000059604645,1.0,False
17,74,2,0.49775809049606323,5.112,13.44192,0.0,0.5044790506362915,0.5112000107765198,0.13441920280456543,0.0,0.5,1.0,False
17,75,2,0.6057580709457397,6.192,13.44192,0.0,0.612479031085968,0.6191999912261963,0.13441920280456543,0.0,0.6000000238418579,1.0,False
17,76,1,0.6057580709457397,6.192,13.44192,0.0,0.612479031085968,0.6191999912261963,0.13441920280456543,0.0,0.6000000238418579,0.5,False
17,77,1,0.6081580519676208,6.216,13.44192,0.0,0.6148790121078491,0.6215999722480774,0.13441920280456543,0.0,0.6000000238418579,0.5,False
17,78,2,0.706558108329773,7.2,13.44192,0.0,0.7132790684700012,0.7200000286102295,0.13441920280456543,0.0,0.699999988079071,1.0,False
17,79,1,0.7113580703735352,7.248,13.44192,0.0,0.7180790305137634,0.7247999906539917,0.13441920280456543,0.0,0.699999988079071,0.5,False
17,80,2,0.8121581077575684,8.256,13.44192,0.0,0.8188790678977966,0.8256000280380249,0.13441920280456543,0.0,0.800000011920929,1.0,False
17,81,2,0.9153580665588379,9.288,13.44192,0.0,0.9220790266990662,0.9287999868392944,0.13441920280456543,0.0,0.8999999761581421,1.0,False
17,82,0,0.8193580508232117,8.328,13.44192,0.0,0.8260790109634399,0.8327999711036682,0.13441920280456543,0.0,0.800000011920929,0.0,False
17,83,1,0.8145580887794495,8.28,13.44192,0.0,0.8212790489196777,0.828000009059906,0.13441920280456543,0.0,0.800000011920929,0.5,False
17,84,2,0.9153580665588379,9.288,13.44192,0.0,0.9220790266990662,0.9287999868392944,0.13441920280456543,0.0,0.8999999761581421,1.0,False
17,85,2,0.9740419387817383,9.96,21.958045,0.0,0.9850209690630436,0.9959999918937683,0.21958045661449432,0.0,1.0,1.0,False
17,86,0,0.9523028135299683,9.72,19.697188,0.0,0.9621514089405536,0.972000002861023,0.19697187840938568,0.0,0.8999999761581421,0.0,False
17,87,0,0.8169580698013306,8.304,13.44192,0.0,0.8236790299415588,0.8303999900817871,0.13441920280456543,0.0,0.800000011920929,0.0,False
17,88,1,0.8145580887794495,8.28,13.44192,0.0,0.8212790489196777,0.828000009059906,0.13441920280456543,0.0,0.800000011920929,0.5,False
17,89,1,0.8145580887794495,8.28,13.44192,0.0,0.8212790489196777,0.828000009059906,0.13441920280456543,0.0,0.800000011920929,0.5,False
