#{"t_start": 1780936162.7663834, "env_id": "None"}
r,l,t
80.640395,99,4.164022
45.86765,99,6.620322
54.831217,99,9.255954
27.41405,99,11.388046
32.49725,99,13.609105
38.28845,99,15.925136
76.314307,99,19.251349
66.681365,99,22.411209
60.821342,99,25.145961
30.64685,99,27.369939
67.272873,99,30.554149
71.075376,99,33.776332
61.136408,99,36.791256
69.410908,99,40.0545
59.523528,99,43.019514
60.271073,99,46.058657
48.123278,99,48.660245
70.619347,99,51.795005
85.259184,99,55.482354
79.934118,99,59.080313
83.145608,99,62.708204
74.336646,99,66.110733
83.841948,99,69.722257
82.189964,99,73.291157
84.224747,99,76.936602
83.730687,99,80.433071
80.8225,99,83.955833
79.79437,99,87.40343
72.130695,99,90.604076
81.366352,99,94.263362
83.432109,99,97.848806
82.036877,99,101.499724
84.237591,99,105.131123
85.603437,99,108.67489
73.783264,99,112.058086
80.075457,99,115.452435
75.828041,99,118.854039
83.335381,99,122.434132
85.885299,99,125.993179
85.992446,99,129.510738
82.862503,99,133.069302
83.186243,99,136.663628
82.59722,99,140.228532
81.222813,99,143.688444
80.489171,99,147.238095
83.117706,99,150.782254
84.492426,99,154.287426
84.492426,99,157.82749
85.295351,99,161.787794
83.634379,99,165.409255
84.377299,99,169.609623
84.363184,99,173.270631
84.402092,99,176.928108
83.124636,99,180.559199
82.453423,99,184.176784
84.231085,99,187.774254
82.764947,99,191.38964
84.335419,99,194.968552
83.945592,99,198.594238
83.716594,99,202.212283
85.999616,99,205.832353
84.131282,99,209.513202
83.180557,99,213.198594
82.370435,99,216.858899
84.461985,99,220.45201
84.40207,99,224.041166
84.35656,99,227.66976
84.345329,99,231.211023
84.722179,99,234.83648
84.383525,99,238.453131
84.34681,99,242.01972
83.47939,99,245.585242
85.546624,99,249.157438
84.40207,99,252.803173
84.421263,99,256.42236
85.217054,99,260.048474
84.40207,99,263.716405
84.530836,99,267.39934
83.945985,99,271.020201
83.737944,99,274.640111
84.34681,99,278.325311
83.922994,99,281.992749
84.40207,99,285.675499
84.40207,99,289.330225
85.509201,99,292.976693
85.680268,99,296.617135
84.40207,99,300.250822
84.40207,99,303.856903
84.797296,99,307.4502
84.40207,99,311.144451
84.40207,99,314.803173
84.40207,99,318.459836
84.40207,99,322.155917
84.40207,99,325.805225
84.40207,99,329.487326
84.40207,99,333.185981
84.40207,99,336.8191
84.40207,99,340.477042
84.40207,99,344.166856
84.40207,99,347.822892
84.40207,99,351.465619
84.40207,99,355.103686
84.40207,99,358.790325
84.40207,99,362.431757
84.40207,99,366.106983
84.35656,99,369.827981
84.00972,99,373.47435
84.40207,99,377.115766
84.40207,99,380.726953
84.40207,99,384.383854
84.40207,99,388.08767
84.40207,99,391.738188
84.40207,99,395.408973
84.40207,99,399.04257
84.40207,99,402.703038
84.131282,99,406.388732
84.40207,99,410.013526
84.80328,99,413.659658
84.40207,99,417.346025
84.40207,99,421.075831
84.40207,99,424.700957
84.676153,99,428.426207
84.131282,99,432.10981
84.40207,99,435.778737
84.40207,99,439.462064
84.40207,99,443.12069
84.40207,99,446.739481
85.668942,99,450.388085
84.40207,99,454.028814
84.34681,99,457.708269
84.40207,99,461.380707
84.40207,99,465.052625
84.40207,99,468.676442
84.40207,99,472.319749
83.922994,99,475.94233
84.40207,99,479.568078
84.40207,99,483.326938
84.402092,99,486.962216
84.40207,99,490.64265
84.40207,99,494.356339
84.40207,99,498.077577
84.40207,99,501.903537
84.40207,99,505.68864
84.40207,99,509.480753
84.40207,99,513.274925
84.40207,99,516.861576
84.111663,99,520.550218
84.40207,99,524.19995
84.40207,99,527.86414
83.510923,99,531.586826
84.40207,99,535.245826
84.40207,99,538.888765
84.40207,99,542.690017
84.40207,99,546.323593
84.402404,99,549.967607
84.40207,99,553.597679
84.318856,99,557.261999
84.40207,99,560.927635
84.131282,99,564.582131
84.40207,99,568.276943
84.40207,99,571.92895
84.421263,99,575.635802
84.40207,99,579.289131
84.345329,99,582.878728
84.40207,99,586.579859
81.390658,99,590.224864
84.40207,99,593.818201
84.40207,99,597.540654
84.40207,99,601.204168
84.40207,99,604.833707
83.510923,99,608.520273
84.402349,99,612.191849
84.40207,99,615.874646
84.40207,99,619.524897
84.40207,99,623.17779
84.40207,99,626.950622
83.323473,99,630.661333
85.680268,99,634.261768
83.840779,99,637.873606
84.131282,99,641.589769
84.40207,99,645.277136
83.510923,99,648.940203
84.40207,99,652.619762
84.40207,99,656.301134
84.40207,99,659.865866
84.40207,99,663.577701
84.40207,99,667.277072
84.40207,99,670.935055
82.591481,99,674.637103
84.40207,99,678.295996
82.59906,99,681.982289
84.40207,99,685.679221
84.40207,99,689.33916
84.40207,99,692.97661
84.40207,99,696.639245
84.40207,99,700.363635
84.40207,99,704.055599
84.40207,99,707.709923
84.093854,99,711.344637
84.40207,99,715.021278
84.40207,99,718.659797
84.40207,99,722.320079
84.40207,99,726.019653
84.345329,99,729.674084
84.40207,99,733.28973
85.19653,99,736.965539
84.40207,99,740.647369
84.40207,99,744.288504
84.40207,99,747.939158
84.40207,99,751.607315
84.40207,99,755.255972
84.40207,99,758.945171
84.40207,99,762.542771
84.345329,99,766.199129
84.40207,99,769.894223
84.40207,99,773.498069
84.40207,99,777.217458
83.922994,99,780.882983
84.40207,99,784.533812
83.716594,99,788.171078
84.40207,99,791.824678
84.40207,99,795.523653
84.40207,99,799.179357
84.40207,99,802.83287
84.40207,99,806.570131
84.40207,99,810.229097
84.40207,99,813.878027
84.35656,99,817.494954
84.40207,99,821.088981
84.40207,99,824.759201
84.40207,99,828.437941
84.40207,99,832.069165
84.40207,99,835.682117
84.40207,99,839.344613
83.922994,99,843.002895
84.00972,99,846.656981
84.40207,99,850.290574
84.21608,99,854.062267
84.40207,99,857.713021
83.922994,99,861.340142
84.618873,99,864.970994
84.40207,99,868.717537
84.40207,99,872.365951
84.345329,99,876.02836
84.40207,99,879.700732
84.40207,99,883.424927
84.318856,99,887.047065
84.40207,99,890.720977
84.40207,99,894.351837
83.445711,99,897.95613
84.40207,99,901.610371
84.40207,99,905.235656
84.40207,99,908.883191
84.40207,99,912.585693
84.40207,99,916.247746
84.421263,99,919.881083
84.40207,99,923.573147
82.59906,99,927.267198
84.40207,99,930.83742
84.40207,99,934.518919
84.40207,99,938.254279
84.40207,99,941.901561
84.40207,99,945.532087
84.40207,99,949.207345
84.00972,99,952.885302
84.402092,99,956.554685
85.681183,99,960.214717
85.680268,99,963.879356
84.40207,99,967.496732
84.402217,99,971.172125
84.40207,99,975.015957
84.40207,99,978.681679
84.40207,99,982.365258
84.40207,99,986.180409
84.40207,99,989.880071
84.35656,99,993.704824
84.129457,99,997.420875
85.685928,99,1001.117188
84.421263,99,1004.926191
84.232368,99,1008.698759
84.40207,99,1012.370676
83.429073,99,1016.177023
84.40207,99,1019.980748
84.40207,99,1024.020962
84.40207,99,1028.096889
84.461393,99,1032.348928
84.402223,99,1036.533062
83.71717,99,1040.81782
84.402217,99,1044.604793
85.300216,99,1048.382584
84.345329,99,1052.31799
84.40207,99,1056.208265
84.402223,99,1059.912431
84.40207,99,1063.627393
84.402092,99,1067.278199
84.40207,99,1070.981543
84.40207,99,1074.672752
84.40207,99,1078.365692
84.40207,99,1082.010199
84.40207,99,1085.641316
85.155013,99,1089.275494
84.402223,99,1092.93941
84.111663,99,1096.621415
